URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
57,41,0.0,0.736842,3,6,15,1,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
239,1,0.125523,0.585774,1,14,69,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
83,59,0.0,0.710843,2,6,24,2,4,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1
58,33,0.017241,0.689655,3,5,17,3,4,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1
46,40,0.021739,0.630435,1,4,16,3,4,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1
282,45,0.230496,0.578014,7,10,54,1,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
40,36,0.05,0.625,1,4,13,2,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
123,45,0.138211,0.658537,4,6,25,2,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
61,36,0.04918,0.672131,2,5,17,2,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
57,51,0.0,0.719298,1,4,16,2,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
43,36,0.046512,0.651163,1,5,13,2,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
93,84,0.258065,0.462366,1,5,26,1,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
377,1,0.318302,0.374005,1,14,116,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
49,45,0.0,0.714286,1,6,14,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
63,58,0.031746,0.714286,1,6,16,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
205,41,0.009756,0.829268,4,8,33,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
349,24,0.148997,0.587393,5,14,92,3,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
50,37,0.06,0.62,2,4,16,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
44,41,0.0,0.75,1,6,11,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
46,40,0.0,0.73913,1,4,12,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
41,36,0.04878,0.634146,1,4,13,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
59,36,0.033898,0.627119,3,4,20,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
52,28,0.019231,0.75,2,4,12,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
41,32,0.02439,0.609756,1,4,15,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
57,34,0.157895,0.614035,2,3,13,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
72,29,0.013889,0.763889,3,4,16,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
70,49,0.042857,0.671429,2,5,20,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
33,27,0.030303,0.666667,1,4,10,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
81,58,0.0,0.790123,2,6,17,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
57,35,0.052632,0.736842,2,4,12,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
87,37,0.022989,0.666667,1,4,27,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
62,59,0.032258,0.645161,1,4,20,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
62,57,0.0,0.677419,1,4,20,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
61,56,0.081967,0.639344,1,4,17,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
55,50,0.072727,0.709091,1,4,12,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
78,69,0.038462,0.74359,1,6,17,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
59,42,0.0,0.711864,2,4,17,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
45,37,0.044444,0.755556,1,1,9,3,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
79,67,0.139241,0.632911,2,4,18,3,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
88,52,0.022727,0.761364,2,6,19,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
115,42,0.034783,0.73913,5,4,26,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
85,60,0.294118,0.494118,4,4,18,1,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
216,28,0.069444,0.671296,11,12,56,3,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
58,56,0.103448,0.655172,1,3,14,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
125,44,0.216,0.552,7,4,29,2,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
269,6,0.111524,0.609665,4,14,75,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
102,33,0.029412,0.77451,4,6,20,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
138,132,0.057971,0.630435,1,8,43,8,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
109,92,0.091743,0.614679,2,4,32,5,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
45,41,0.0,0.755556,1,6,11,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
53,44,0.0,0.773585,1,4,12,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
45,39,0.0,0.8,1,6,9,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
78,41,0.0,0.833333,2,6,13,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
75,54,0.053333,0.573333,4,6,28,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
52,38,0.0,0.711538,1,4,15,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
35,31,0.0,0.685714,1,3,11,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
74,69,0.027027,0.648649,1,3,24,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
102,69,0.029412,0.715686,3,4,26,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
44,25,0.0,0.75,2,1,11,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
85,43,0.058824,0.705882,3,5,20,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
121,115,0.0,0.760331,1,4,29,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
66,57,0.0,0.712121,1,4,19,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
62,42,0.016129,0.741935,3,6,15,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
86,32,0.023256,0.72093,5,6,22,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
142,29,0.119718,0.711268,6,4,24,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
68,33,0.132353,0.602941,4,4,18,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
121,119,0.041322,0.669421,1,4,35,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
40,34,0.0,0.725,1,4,11,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
118,104,0.067797,0.644068,2,4,34,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
45,41,0.0,0.688889,1,4,14,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
101,55,0.019802,0.742574,4,6,24,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
51,39,0.0,0.784314,1,6,11,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
